17:11:02:125 [main] INFO  Main.Main - -831497802

17:11:02:130 [main] INFO  Main.Main - 465983646
17:11:02:131 [main] INFO  Main.Main - true

17:11:02:132 [main] INFO  Main.Main - -634435049

17:11:02:132 [main] INFO  Main.Main - 685518902

17:11:02:133 [main] INFO  Main.Main - -1693688045

17:11:02:133 [main] INFO  Main.Main - 685518902
17:11:02:134 [main] INFO  Main.Main - true

17:11:02:135 [main] INFO  Main.Main - Test: text
17:11:02:136 [main] INFO  Main.Main - Calling Mirian Surmanidze5
17:11:02:136 [main] INFO  Main.Main - Calling Mirian Surmanidze7
17:11:02:137 [main] INFO  Main.Main - Calling Mirian Surmanidze7
17:11:02:137 [main] INFO  Main.Main - Calling Mirian Surmanidze1
17:11:02:137 [main] INFO  Main.Main - Calling Mirian Surmanidze1
17:11:02:138 [main] INFO  Main.Main - Calling Mirian Surmanidze1
17:11:02:139 [main] INFO  Main.Main - Calling Mirian Surmanidze4
17:11:02:139 [main] INFO  Main.Main - Calling Mirian Surmanidze5
17:11:02:140 [main] INFO  Main.Main - Calling Mirian Surmanidze0
